idi_tuaria,idseq,cdi_tuaria,nome,tipo,cdbigrama,cdtrigrama,cdterminal,situacao,gestao,modalidade,companhia,cnpj,legislacao,pro_didade,endereco,com_emento,numero,bairro,cep,idcidade,cidade,idestado,estado,idr_rafica,reg_rafica,loc_izacao,latitude,longitude,observacao,fonte,cdc_troide,NOTerminal,CNPJInstal,RazaoSocia,CNPJEmpres,RazaoSoc_1,IDTipoOuto,NOTipoOuto,IDTipoTerm,NOTipoTerm,NROutorga,DTOutorga,STTerminal,TPTerminal,VLMontante,DSSituacao,TPInstalac,NRTLO,DTTLO,NRInstrume,NRProcesso,layer,path
"300180","0",BRRJ047,TCE Serviços,Registro - Estaleiro até 1.000 TPB,BR,BRR,BRRJ047,Em Operação,Privada,Registro - Estaleiro até 1.000 TPB,TCE SERVICOS NAVAIS LTDA,"11233983000122",Res. 3635/2014,,RUA DELEGADO WALDIR GUILHERME,,"137",ILHA DA CONCEIÇÃO,"24050170","3303302",,,,,,,"-22.874","-43.113","Atualizado pela GAP em 29/04/2015.
Registro autorizado pela RES",Antaq,,TCE Serviços,11233983000122,TCE SERVICOS NAVAIS LTDA,11233983000122,TCE SERVICOS NAVAIS LTDA,"5",Registro (Resol. 3.290/2014),"11",Registro - Estaleiro até 1.000 TPB,Res. 3635/2014,2014-09-16 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300181","0",BRAM057,Porto da JG,Registro - Instalação rudimentar,BR,BRA,BRAM057,Em Operação,Privada,Registro - Instalação rudimentar,EMPRESA DE NAVEGAÇÃO J. G. LTDA,"15819733000120",Res. 3897/2015,,Rua T12,,"34",D.PEDRO I,"69640000","1304062",,,,,,Solimões,"-4.232","-69.943","Atualizado pela GAP em 29/04/2015.
Registro aprovado pela Resol",Antaq,,Porto da JG,15819733000120,EMPRESA DE NAVEGAÇÃO J. G. LTDA,15819733000120,EMPRESA DE NAVEGAÇÃO J. G. LTDA,"5",Registro (Resol. 3.290/2014),"10",Registro - Instalação rudimentar,Res. 3897/2015,2015-02-03 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300182","0",BRPA057,Reicon Itaituba,Registro - Instalação rudimentar,BR,BRP,BRPA057,Em Operação,Privada,Registro - Instalação rudimentar,REBELO INDUSTRIA COMERCIO E NAVEGACAO LTDA.,"05685961000877",Res. 3751/2014,,Estrada do Quartel,,,Bom Jardim,"68180000","1503606",,,,,,Tapajós,"-4.279","-56.011",Registro aprovado pela Resolução 3751/2014-ANTAQ,Antaq,,Reicon Itaituba,5685961000877,REBELO INDUSTRIA COMERCIO E NAVEGACAO LTDA.,5685961000109,"REBELO INDÚSTRIA, COMÉRCIO E NAVEGAÇÃO LTDA.","5",Registro (Resol. 3.290/2014),"10",Registro - Instalação rudimentar,Res. 3751/2014,2014-11-19 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300183","0",BRPA056,Reicon Vitória do Xingu,Registro - Instalação rudimentar,BR,BRP,BRPA056,Em Operação,Privada,Registro - Instalação rudimentar,"REBELO INDÚSTRIA, COMÉRCIO E NAVEGAÇÃO LTDA.","05685961000605",Res. 3751/2014,,Av. Manoel Félix Farias,,"1145",Centro,"68383970","1508357",,,,,,Xingu,"-2.882","-52.011",Registro aprovado pela 3751/2014-ANTAQ,Antaq,,Reicon Vitória do Xingu,5685961000605,"REBELO INDÚSTRIA, COMÉRCIO E NAVEGAÇÃO LTDA.",5685961000109,"REBELO INDÚSTRIA, COMÉRCIO E NAVEGAÇÃO LTDA.","5",Registro (Resol. 3.290/2014),"10",Registro - Instalação rudimentar,Res. 3751/2014,2014-11-19 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300186","0",BRAM067,Porto Voyager,Registro - Instalação rudimentar,BR,BRA,BRAM067,Em Operação,Privada,Registro - Instalação rudimentar,ARAÚJO COMÉRCIO DE PRODUTOS ALIMENTÍCIOS E N,"08595121000135",Res. 4450/2015,,"Rua Marechal Rondon, s/n",,,Dom Pedro I,"69640000","1304062",,,,,,Solimões,"-4.233","-69.944",Cadastro realizado pela GAP em 18/11/2015,Antaq,,Porto Voyager,8595121000135,ARAÚJO COMÉRCIO DE PRODUTOS ALIMENTÍCIOS E NAVEGAÇÃO EIRELI,8595121000135,ARAÚJO COMÉRCIO DE PRODUTOS ALIMENTÍCIOS E NAVEGAÇÃO EIRELI,"5",Registro (Resol. 3.290/2014),"10",Registro - Instalação rudimentar,Res. 4450/2015,2015-11-17 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300197","0",BRRO019,L P Moreira de Luna,Registro - Instalação rudimentar,BR,BRR,BRRO019,Em Operação,Privada,Registro - Instalação rudimentar,L P MOREIRA DE LUNA - ME,"17026008000120",Res. 6036/2018,,ESTF MADEIRA-MAMORE,,"2270",TRIANGULO,"76805720","1100205",,,,,,Madeira,"-8.781","-63.915",RES. 6036/2018-ANTAQ: Declarar extintos os registros concedidos,Antaq,,,,,,,,,,,,,,,,,,,,,,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300200","0",BRAM070,Centro de Embarcações do Comando Militar da Amazônia,Registro - Instalação temporária,BR,BRA,BRAM070,Em Operação,Privada,Registro - Instalação temporária,CENTRO DE EMBARCACOES DO COMANDO MILITAR DA,"09580252000101",Res. 4648/2016,,Avenida Coronel Teixeira,,,Ponta Negra,"69037010","1302603",,,,,,Negro,"-3.086","-60.082",Cadastrado em GAP em 25/02/2016.,Antaq,,Centro de Embarcações do Comando Militar da Amazônia,9580252000101,CENTRO DE EMBARCACOES DO COMANDO MILITAR DA AMAZONIA,9580252000101,CENTRO DE EMBARCACOES DO COMANDO MILITAR DA AMAZONIA,"5",Registro (Resol. 3.290/2014),"12",Registro - Instalação temporária,Res. 4648/2016,2016-02-23 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300202","0",BRAM071,Porto Cheuan,Registro - Instalação rudimentar,BR,BRA,BRAM071,Em Operação,Privada,Registro - Instalação rudimentar,FRANCIS JOSÉ CHEHUAN & CIA LTDA.,"04819181000133",Res. 4683/2016,,Avenida Padre Agostinho Caballero Martin,,"350",Santo Antônio,"69029120","1302603",,,,,,Negro,"-3.122","-60.046",Cadastro realizado pela GAP em 15/03/2016.,Antaq,,Porto Cheuan,4819181000133,FRANCIS JOSÉ CHEHUAN & CIA LTDA.,4819181000133,FRANCIS JOSÉ CHEHUAN & CIA LTDA.,"5",Registro (Resol. 3.290/2014),"10",Registro - Instalação rudimentar,Res. 4683/2016,2016-03-11 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300203","0",BRAM031,Porto do Demétrio,Registro - Instalação rudimentar,BR,BRA,BRAM031,Em Operação,Privada,Registro - Instalação rudimentar,NAVEGAÇÃO MIRIM LTDA,"15764897000105",Res. 4747/2016,,Rua Bento José de Lima,"antiga Rua da Serraria, nº 39","76",Col. Oliveira Machado,"69070530","1302603",,,,,,Negro,"-3.147","-60.009",Atualizado pela GAP em 19/04/2016.,Antaq,,Porto do Demétrio,15764897000105,NAVEGAÇÃO MIRIM LTDA,15764897000105,NAVEGAÇÃO MIRIM LTDA,"5",Registro (Resol. 3.290/2014),"10",Registro - Instalação rudimentar,Res. 4747/2016,2016-04-15 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300206","0",BRRJ045,Estaleiro ETP,Registro - Estaleiro até 1.000 TPB,BR,BRR,BRRJ045,Em Operação,Privada,Registro - Estaleiro até 1.000 TPB,ETP ENGENHARIA LTDA,"03638356000224",Res. 4371/2016,,Ilha do Viana,s/n,,Barreto,"24110240","3303302",,,,,,,"-22.863","-43.128",,Antaq,,Estaleiro ETP,3638356000224,ETP ENGENHARIA LTDA,3638356000143,ETP ENGENHARIA LTDA,"5",Registro (Resol. 3.290/2014),"11",Registro - Estaleiro até 1.000 TPB,Res. 4371/2016,2016-04-01 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300230","0",BRAM072,Porto Encontro das Águas,Registro - Instalação rudimentar,BR,BRA,BRAM072,Em Operação,Privada,Registro - Instalação rudimentar,PETROLEO BRASILEIRO S A PETROBRAS,"33000167111876",Res. 4795/2016,,RUA DESEMBARGADOR CESAR DO REGO,,"1444",COLONIA ANTONIO ALEIXO,"69008445","1302603",,,,,,Negro,"-3.118","-59.914",Atualizado pela GAP em 20/05/2016.,Antaq,,Porto Encontro das Águas,33000167111876,PETROLEO BRASILEIRO S A PETROBRAS,33000167000101,PETRÓLEO BRASILEIRO S.A - PETROBRAS,"5",Registro (Resol. 3.290/2014),"10",Registro - Instalação rudimentar,Res. 4795/2016,2016-05-17 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300281","0",BRRJ031,Estaleiro Barcas S/A,Registro - Estaleiro até 1.000 TPB,BR,BRR,BRRJ031,Em Operação,Privada,Registro - Estaleiro até 1.000 TPB,BARCAS S.A. TRANSPORTES MARÍTIMOS,"33644865000140",Res. 4914/2016,,Rua Miguel de Lemos,,"53",Ponta D'Areia,"24050260","3303302",,,,,,,"-22.879","-43.121",,Antaq,,Estaleiro Barcas S/A,33644865000140,BARCAS S.A. TRANSPORTES MARÍTIMOS,33644865000140,BARCAS S.A. TRANSPORTES MARÍTIMOS,"5",Registro (Resol. 3.290/2014),"11",Registro - Estaleiro até 1.000 TPB,Res. 4914/2016,2016-08-05 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300282","0",BRES024,Sea Wolf Soluções Marítimas,Registro - Estaleiro até 1.000 TPB,BR,BRE,BRES024,,Privada,Registro - Estaleiro até 1.000 TPB,SEA WOLF SOLUÇÕES MARÍTIMAS LTDA - ME,"17483117000176",Res. 6102/2018,,Rua Beira Mar,69 e 70 - Galpão,"69",Glória,"29122780","3205200",,,,,,,,,"Resolução 6.102: Declarar extinta, por renúncia, a autorização m",Antaq,,,,,,,,,,,,,,,,,,,,,,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300283","0",BRAM073,Porto de Democracia,Registro - Instalação rudimentar,BR,BRA,BRAM073,Em Operação,Privada,Registro - Instalação rudimentar,A M DUARTE,"04197091000158",Res. 5416/2017,,Lug Democracia,s/n,,Zona Rural,"69280000","1302702",,,,,,Madeira,"-5.799","-61.43",Alterado em 16/09/19: Resolução nº 5.416-ANTAQ revogou a Resoluç,Antaq,,,,,,,,,,,,,,,,,,,,,,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300324","0",BRPA140,Porto São Francisco,Registro - Instalação de apoio,BR,BRP,BRPA140,Em Operação,Privada,Registro - Instalação de apoio,"AMAZON NAVEGAÇÃO, TURISMO E TRANSPORTE DE P","10486606000213",Res. 6474/2018,,Porto da Balsa,,,São Francisco,"68447000","1501303",,,,,,Baía de Marajó,"-1.559","-48.505","50300.003782/2017-89
GPF/SFC - Atualização para permitir fiscal",Antaq,,Porto São Francisco,10486606000213,"AMAZON NAVEGAÇÃO, TURISMO E TRANSPORTE DE PASSAGEIROS LTDA",10486606000132,"AMAZON NAVEGAÇÃO, TURISMO, TRANSPORTE DE PASSAGEIROS LTDA","9",Registro (RN 13/2016),"16",Registro - Instalação de apoio,Res. 6474/2018,2018-11-05 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,"6474",NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300332","0",BRPA127,Terminal Hidroviário de Camará,Registro - Instalação de apoio,BR,BRP,BRPA127,Em Operação,Privada,Registro - Instalação de apoio,HENVIL TRANSPORTES LTDA,"83892117000316",Res. 6382/2018,,Foz do Rio Camará - PA 154,Porto Balsa,,Interior,"68860000","1506302",,,,,,Baía de Marajó,"-0.943","-48.606",Atualizado pela GPF em 26/03/2019.,Antaq,,Terminal Hidroviário de Camará,83892117000316,HENVIL TRANSPORTES LTDA,83892117000154,HENVIL TRANSPORTES LTDA.,"9",Registro (RN 13/2016),"16",Registro - Instalação de apoio,Res. 6382/2018,2018-09-24 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300340","0",BRPA095,Trapiche Municipal de Cachoeira do Arari,Registro - Instalação de apoio,BR,BRP,BRPA095,Em Operação,Privada,Registro - Instalação de apoio,MUNICIPIO DE CACHOEIRA DO ARARI,"04884482000140",Res. 6702/2019,,AV. DEP. JOSE RODRIGUES VIANA,,,CENTRO,"68840000","1502004",,,,,,Baía de Marajó,"-1.011","-48.964",Atualização GAP 25/03/2019,Antaq,,Trapiche Municipal de Cachoeira do Arari,4884482000140,MUNICIPIO DE CACHOEIRA DO ARARI,4884482000140,MUNICIPIO DE CACHOEIRA DO ARARI,"9",Registro (RN 13/2016),"16",Registro - Instalação de apoio,Res. 6702/2019,2019-02-12 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300345","0",BRAC002,Porto Fluvial de Cruzeiro do Sul,Registro - Instalação de apoio,BR,BRA,BRAC002,Em Operação,Privada,Registro - Instalação de apoio,"DEPARTAMENTO DE ESTRADA DE RODAGEM, INFRAEST","04031258000106",Res. 5655/2017,,Rua Paraíba,,,Remanso,"69980000","1200203",,,,,,Juruá,"-7.619","-72.645",Instalação regularizada pela autorização mediante registro em 18,Antaq,,Porto Fluvial de Cruzeiro do Sul,4031258000106,"DEPARTAMENTO DE ESTRADA DE RODAGEM, INFRAESTRUTURA HIDROVIÁRIA E AEROPORTUÁRIA DO ACRE - DERACRE",4031258000106,"DEPARTAMENTO DE ESTRADA DE RODAGEM, INFRAESTRUTURA HIDROVIÁRIA E AEROPORTUÁRIA DO ACRE - DERACRE","9",Registro (RN 13/2016),"16",Registro - Instalação de apoio,Res. 5655/2017,2017-09-18 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,"5655",NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300349","0",BRAM063,Transale,Registro - Instalação de apoio,BR,BRA,BRAM063,Em Operação,Privada,Registro - Instalação de apoio,TRANSALE TRANSPORTADORA ALE LTDA.,"05511290000151",Res. 6618/2018,,BR 319 S/N  lote 03,S/N,,Muazinho,"69075830","1302603",,,,,,Negro,"-3.134","-59.939","Processo 50300.010966/2017-03

Dentro do porto organizado.",Antaq,,Transale,5511290000151,TRANSALE TRANSPORTADORA ALE LTDA.,5511290000151,TRANSALE TRANSPORTADORA ALE LTDA.,"9",Registro (RN 13/2016),"16",Registro - Instalação de apoio,Res. 6618/2018,2018-12-20 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
"300350","0",BRAM065,Porto Amazongás,Registro - Instalação de apoio,BR,BRA,BRAM065,Em Operação,Privada,Registro - Instalação de apoio,AMAZONGÁS DISTRIBUIDORA DE GÁS LIQUEFEITO DE,"04957650000180",Res. 6738/2019,,Avenida Ministro Mário Andreazza,,"5475",Mauazinho,"69068130","1302603",,,,,,Negro,"-3.135","-59.939",Atualização GAP 25/03/2019,Antaq,,Porto Amazongás,4957650000180,AMAZONGÁS DISTRIBUIDORA DE GÁS LIQUEFEITO DE PETRÓLEO LTDA,4957650000180,AMAZONGÁS DISTRIBUIDORA DE GÁS LIQUEFEITO DE PETRÓLEO LTDA,"9",Registro (RN 13/2016),"16",Registro - Instalação de apoio,Res. 6738/2019,2019-02-19 00:00:00.000,NULL,NULL,NULL,Em Operação,"2",NULL,NULL,NULL,NULL,Registro,C:\Users\Marcos Coelho\Documents\Tele-trabalho ANTAQ\MAPAS\SHP-Registro-26-01-2021\Registro.shp
